conference_id,name,theme,abbr
bf423a33-5d7d-45da-9805-bac01a3288aa,International Conference on Information Systems for Crisis Response and Management,Computer Science,ICoISfCRaM
3c4447e5-bf74-426d-ac93-650df74ea250,International Conference on Communication and Network Security,,ICoCaNS
d0fd9a2e-7924-417b-8a2f-9f85acf31330,International Conference Innovation Engineering and Technology,,ICIEaT
bdc2e585-4e48-4e36-8af1-6d859763d405,AAAI Conference on Artificial Intelligence,Computer Science and Mathematics,ACoAI
6363ebc9-706a-4203-b804-148cbf8810ce,IEEE International Conference on Bioinformatics and Biomedicine,Computer Science,IICoBaB
9012153e-aed6-447e-bccf-4aaf6f4bf52f,IEEE International Conference on Consumer Electronics,Computer Science,IICoCE
3dbf084c-ef47-4b74-9919-047b40704538,Italian National Conference on Sensors,Computer Science and Medicine,INCoS
1e33b3be-b2ab-46e9-96e8-d4eb4bad6e44,Annual Meeting of the Association for Computational Linguistics,Computer Science,AMotAfCL
b8e1c2e0-1b74-4058-baa7-54f0bb392eba,Computing and Communication Workshop and Conference,Computer Science,CaCWaC
73eebcd4-7d23-4cef-b1ee-7d454e8ee04f,International Conference on Concurrency Theory,Computer Science,ICoCT
73a1e934-dd81-48dc-aa8d-a367d232f333,AAAI Spring Symposium Combining Machine Learning with Knowledge Engineering,Computer Science,ASSCMLwKE
b0f32794-b6c9-414c-b208-f48488188f0f,International Conference on Networking in Education and Research,Computer Science,ICoNiEaR
b6744d41-3aae-472d-98cf-21f4373115b2,International Conference on Industrial Informatics,Computer Science,ICoII
46ea0717-6bd1-426d-aa9f-c76eb45e1805,International Conference on Mechatronics and Machine Vision in Practice,Computer Science and Engineering,ICoMaMViP
34e23edc-d287-46e8-9963-ad079321aa9f,International Symposium on Autonomous Decentralized Systems,Computer Science,ISoADS
97a677bb-0fa7-4c1d-a54e-24db1fb98dd5,International Conference on Computational Intelligence and Communication Networks,Computer Science,ICoCIaCN
51227d50-1d22-48c8-ac32-5466d5c3d16b,SMART,,S
975e1529-a14b-436f-ad7e-a09d8eabc50d,IEEE International Conference on Multimedia and Expo,Computer Science,IICoMaE
f63e4bb3-0e34-4ab9-8bf1-45fa94f94fe1,International Conference on Recent Advances and Innovations in Engineering,,ICoRAaIiE
c545d136-74ba-4905-8ed9-b9ec76a5e444,Sistemi Evoluti per Basi di Dati,Computer Science,SEpBdD
47c47088-7640-441b-85ba-375fe8f5c3a4,International Conference on Computing Communication and Networking Technologies,Computer Science,ICoCCaNT
